iter	Passed	Remaining
0	237	118288
1	575	143212
2	789	130809
3	993	123169
4	1228	121655
5	1455	119796
6	1745	122930
7	2065	127007
8	2397	130809
9	2792	136816
10	3046	135451
11	3252	132259
12	3495	130958
13	3729	129455
14	4093	132355
15	4365	132069
16	4594	130551
17	4850	129896
18	5063	128178
19	5296	127125
20	5533	126219
21	5715	124171
22	5940	123197
23	6169	122367
24	6459	122727
25	6829	124512
26	7177	125738
27	7348	123880
28	7578	123078
29	7772	121775
30	8051	121809
31	8338	121943
32	8570	121279
33	8766	120153
34	8988	119425
35	9203	118623
36	9431	118020
37	9689	117809
38	9919	117256
39	10149	116714
40	10374	116142
41	10606	115656
42	10849	115303
43	11119	115233
44	11392	115189
45	11677	115253
46	11968	115354
47	12201	114897
48	12444	114537
49	12643	113795
50	12853	113164
51	13045	112396
52	13277	111980
53	13586	112218
54	13840	111982
55	14039	111315
56	14290	111065
57	14607	111318
58	14957	111798
59	15174	111283
60	15409	110895
61	15629	110416
62	15893	110242
63	16144	109982
64	16356	109461
65	16564	108923
66	16758	108304
67	16977	107856
68	17242	107705
69	17542	107759
70	17830	107739
71	18066	107398
72	18275	106901
73	18466	106307
74	18703	105987
75	18935	105642
76	19216	105565
77	19574	105905
78	19804	105542
79	20088	105466
80	20366	105351
81	20674	105387
82	21087	105946
83	21275	105366
84	21487	104910
85	21795	104923
86	22152	105159
87	22462	105164
88	22755	105084
89	22972	104653
90	23216	104348
91	23564	104503
92	23900	104597
93	24180	104438
94	24521	104540
95	24794	104343
96	25035	104013
97	25307	103811
98	25546	103475
99	25749	102998
100	25972	102605
101	26232	102358
102	26513	102194
103	26751	101863
104	26978	101489
105	27197	101093
106	27410	100675
107	27630	100287
108	27844	99883
109	28060	99486
110	28285	99126
111	28486	98685
112	28701	98297
113	28891	97826
114	29080	97356
115	29318	97054
116	29613	96939
117	29899	96792
118	30187	96649
119	30613	96942
120	30846	96618
121	31054	96218
122	31258	95809
123	31457	95386
124	31659	94978
125	31886	94646
126	32118	94331
127	32332	93966
128	32562	93647
129	32738	93179
130	32967	92861
131	33178	92498
132	33360	92055
133	33573	91701
134	33805	91398
135	34001	91003
136	34214	90656
137	34433	90326
138	34652	89997
139	34869	89664
140	35083	89326
141	35283	88953
142	35519	88674
143	35735	88346
144	35954	88026
145	36174	87710
146	36392	87390
147	36613	87080
148	36833	86768
149	37050	86450
150	37278	86160
151	37494	85842
152	37731	85573
153	37964	85295
154	38187	84998
155	38381	84637
156	38583	84293
157	38807	84000
158	39039	83726
159	39250	83407
160	39472	83113
161	39756	82948
162	40010	82721
163	40235	82434
164	40452	82130
165	40684	81858
166	40921	81597
167	41172	81365
168	41487	81256
169	41735	81015
170	41954	80719
171	42182	80440
172	42464	80264
173	42686	79976
174	42874	79623
175	43076	79300
176	43344	79096
177	43630	78927
178	44011	78926
179	44320	78791
180	44540	78499
181	44748	78186
182	44948	77860
183	45181	77593
184	45420	77338
185	45657	77077
186	45876	76788
187	46096	76500
188	46333	76241
189	46547	75946
190	46744	75623
191	46962	75335
192	47152	75003
193	47386	74742
194	47611	74469
195	47810	74155
196	48029	73872
197	48239	73576
198	48447	73280
199	48670	73005
200	48916	72766
201	49212	72599
202	49592	72556
203	49992	72538
204	50257	72321
205	50552	72147
206	50870	72005
207	51191	71865
208	51460	71650
209	51695	71389
210	52005	71230
211	52420	71212
212	52787	71126
213	53085	70946
214	53369	70745
215	53593	70465
216	53884	70272
217	54153	70052
218	54443	69856
219	54747	69678
220	54994	69427
221	55245	69181
222	55479	68913
223	55742	68682
224	56035	68487
225	56317	68278
226	56591	68058
227	56827	67794
228	57033	67493
229	57374	67352
230	57609	67085
231	57825	66798
232	58053	66524
233	58276	66245
234	58482	65947
235	58709	65674
236	58938	65404
237	59170	65137
238	59417	64887
239	59650	64621
240	59884	64356
241	60131	64107
242	60355	63832
243	60592	63572
244	60797	63279
245	61020	63005
246	61256	62744
247	61471	62462
248	61704	62200
249	61924	61924
250	62142	61647
251	62372	61382
252	62625	61140
253	62942	60959
254	63183	60706
255	63409	60436
256	63604	60140
257	63854	59894
258	64107	59652
259	64335	59386
260	64549	59108
261	64779	58845
262	65140	58700
263	65387	58452
264	65622	58193
265	65839	57918
266	66073	57659
267	66300	57394
268	66522	57124
269	66735	56848
270	66956	56579
271	67183	56315
272	67410	56052
273	67646	55795
274	67865	55526
275	68082	55255
276	68320	55001
277	68519	54716
278	68731	54443
279	68966	54187
280	69205	53936
281	69437	53678
282	69663	53417
283	69920	53179
284	70237	52986
285	70531	52775
286	70801	52545
287	71103	52339
288	71324	52074
289	71640	51877
290	71884	51628
291	72206	51435
292	72550	51255
293	72903	51081
294	73284	50926
295	73572	50705
296	73833	50465
297	74131	50250
298	74374	49997
299	74563	49708
300	74875	49502
301	75219	49315
302	75492	49082
303	75753	48841
304	76026	48607
305	76288	48365
306	76630	48174
307	76929	47955
308	77193	47715
309	77426	47454
310	77659	47194
311	77928	46956
312	78202	46721
313	78463	46478
314	78705	46224
315	78964	45979
316	79226	45736
317	79455	45474
318	79710	45227
319	79979	44988
320	80209	44727
321	80470	44483
322	80754	44252
323	81013	44007
324	81240	43744
325	81448	43472
326	81669	43207
327	81910	42953
328	82140	42693
329	82350	42422
330	82561	42153
331	82791	41894
332	83012	41630
333	83246	41374
334	83467	41111
335	83684	40845
336	83930	40595
337	84150	40332
338	84379	40073
339	84595	39809
340	84817	39548
341	85031	39283
342	85247	39020
343	85476	38762
344	85699	38502
345	85932	38247
346	86156	37988
347	86399	37737
348	86633	37483
349	86833	37214
350	87048	36952
351	87266	36691
352	87495	36435
353	87701	36170
354	87942	35920
355	88160	35660
356	88391	35406
357	88601	35143
358	88839	34892
359	89061	34635
