iter	Logloss
0	0.3425556502
1	0.2485087781
2	0.2164559378
3	0.2003036649
4	0.1885150976
5	0.1836637917
6	0.179446478
7	0.1775373567
8	0.1754998139
9	0.1725722289
10	0.1710832741
11	0.1699957114
12	0.1686593156
13	0.1677857493
14	0.1672458174
15	0.1664002839
16	0.1654154719
17	0.1650530368
18	0.1641928522
19	0.1635583724
20	0.1630663916
21	0.1626139771
22	0.1618200723
23	0.1613336176
24	0.161009931
25	0.1608127615
26	0.1603729347
27	0.1597159355
28	0.1594383737
29	0.159313359
30	0.1590710124
31	0.1589053552
32	0.158763428
33	0.1585265213
34	0.1581103922
35	0.1577653247
36	0.1574926264
37	0.1571596773
38	0.156994688
39	0.1568256403
40	0.1564111712
41	0.1562154672
42	0.1559356775
43	0.1556288617
44	0.1554239394
45	0.1552285158
46	0.1550753634
47	0.1548091906
48	0.1547149112
49	0.1544706648
50	0.1543919819
51	0.1542458476
52	0.1541070285
53	0.1539696115
54	0.1538309961
55	0.1537129156
56	0.1536308723
57	0.1535971677
58	0.1535368343
59	0.1533469291
60	0.1531375
61	0.153037963
62	0.1529482652
63	0.1528044942
64	0.1526616088
65	0.1525588042
66	0.152413023
67	0.1522511998
68	0.152223928
69	0.1520529753
70	0.1519189663
71	0.1518432686
72	0.1516915678
73	0.1515378869
74	0.1514386541
75	0.1512814351
76	0.1511728609
77	0.1511070146
78	0.1510273183
79	0.1509229223
80	0.1508504503
81	0.1507572034
82	0.1506108623
83	0.150582256
84	0.1504962612
85	0.1504356788
86	0.1503383486
87	0.1502262533
88	0.1501195595
89	0.1500509831
90	0.1499809768
91	0.149920972
92	0.1497238449
93	0.1496693717
94	0.1495999054
95	0.1495289512
96	0.1494356228
97	0.1493686291
98	0.1492064587
99	0.1491128726
100	0.1490596562
101	0.1489960123
102	0.1489409647
103	0.1488812137
104	0.1488102568
105	0.1487158635
106	0.1486527176
107	0.1485808489
108	0.1485298853
109	0.1484876906
110	0.1484453515
111	0.1483878159
112	0.1483654436
113	0.1483003698
114	0.1482445034
115	0.148145942
116	0.1480526209
117	0.1480251652
118	0.1479480688
119	0.1478626906
120	0.1478497115
121	0.1477478533
122	0.1476669629
123	0.1476393067
124	0.1476141541
125	0.1475524514
126	0.1474961244
127	0.1474463638
128	0.1474044659
129	0.1473244822
130	0.1472611307
131	0.1472096704
132	0.1471964826
133	0.1471560222
134	0.1471168536
135	0.1470099211
136	0.1467785024
137	0.1467553524
138	0.1466784452
139	0.1466415844
140	0.1465632298
141	0.1465325539
142	0.1464383817
143	0.1463917303
144	0.1463319609
145	0.1462700468
146	0.1462223877
147	0.1461603875
148	0.1460990565
149	0.1460579672
150	0.1459850713
151	0.1459299711
152	0.1458594185
153	0.1458267219
154	0.1458002649
155	0.1457662891
156	0.1457184686
157	0.1456907062
158	0.1456724174
159	0.1456269979
160	0.1456070594
161	0.1455792128
162	0.1455466157
163	0.1455218536
164	0.1454971592
165	0.1454715537
166	0.1454544036
167	0.1454200377
168	0.1453717103
169	0.1453118243
170	0.1452644466
171	0.1451679558
172	0.145075933
173	0.1450294683
174	0.1450026533
175	0.1449533162
176	0.1449081733
177	0.1448601252
178	0.1448163774
179	0.144712717
180	0.1446762697
181	0.1446371269
182	0.1446204137
183	0.1445951914
184	0.1445468274
185	0.1445131335
186	0.1444750765
187	0.1443768655
188	0.1443312305
189	0.1442858175
190	0.144261965
191	0.1442294063
192	0.1442272597
193	0.1441912087
194	0.1441591473
195	0.1441336074
196	0.1440709335
197	0.1440321723
198	0.1440040515
199	0.1439620798
200	0.1437909497
201	0.1437489379
202	0.1437147109
203	0.1436507015
204	0.1436206497
205	0.1435799486
206	0.1435522859
207	0.1435219749
208	0.1434848661
209	0.1434420172
210	0.1433918545
211	0.1433421088
212	0.1432959656
213	0.1432274658
214	0.1431787623
215	0.1431417284
216	0.1431206362
217	0.1430955602
218	0.143013167
219	0.1430092981
220	0.1429805108
221	0.1429483494
222	0.1429280288
223	0.1428803577
224	0.1428655613
225	0.1428030134
226	0.1427598385
227	0.142735599
228	0.1427313178
229	0.1427102509
230	0.1426729751
231	0.1425826288
232	0.1425595079
233	0.1425085274
234	0.1424253245
235	0.142384901
236	0.1423598515
237	0.1423068177
238	0.142270219
239	0.1422208151
240	0.1421682882
241	0.1421315571
242	0.1420895038
243	0.1420618011
244	0.1420305895
245	0.1420230393
246	0.1419860984
247	0.1419390815
248	0.1419123334
249	0.1418754552
250	0.1418411812
251	0.1417918311
252	0.1417295838
253	0.1416917922
254	0.1416553976
255	0.1416270852
256	0.1415549323
257	0.1414799561
258	0.141460675
259	0.1414144019
260	0.1413985554
261	0.1413888178
262	0.1413443767
263	0.141322457
264	0.1412824536
265	0.1412430438
266	0.1411881387
267	0.1411651891
268	0.1411319515
269	0.1410944477
270	0.1410517848
271	0.141011255
272	0.1409577979
273	0.1409167215
274	0.1408667603
275	0.140834643
276	0.1408009798
277	0.1406988768
278	0.1406753223
279	0.1406513645
280	0.1406300323
281	0.1405296664
282	0.1405098002
283	0.1404765693
284	0.1404123727
285	0.14039692
286	0.1403801002
287	0.1403443002
288	0.1403324439
289	0.1402997953
290	0.1402669998
291	0.1402279347
292	0.1401955658
293	0.1401509075
294	0.1401431755
295	0.1401226213
296	0.140004436
297	0.1399855139
298	0.1399403522
299	0.1399340162
300	0.1398683768
301	0.139843319
302	0.1398055791
303	0.1397612094
304	0.1397168912
305	0.1396735345
306	0.139647538
307	0.1396100347
308	0.139583116
309	0.1395451995
310	0.1395169744
311	0.1394810171
312	0.1394673343
313	0.1394387178
314	0.1394033497
315	0.1393833708
316	0.1393584346
317	0.1393131205
318	0.139278889
319	0.1392646874
320	0.1392355418
321	0.139191282
322	0.1391731756
323	0.1391503874
324	0.1391185216
325	0.1390825795
326	0.1390742297
327	0.1390259117
328	0.1389907143
329	0.1389614571
330	0.1389361903
331	0.1389103461
332	0.138871639
333	0.1388363042
334	0.1388118816
335	0.1387955159
336	0.1387907833
337	0.1387640777
338	0.1387590782
339	0.1387471409
340	0.1387234698
341	0.138714244
342	0.1386901218
343	0.1386428864
344	0.1386141479
345	0.1385797125
346	0.1385374208
347	0.1385205005
348	0.1385119043
349	0.1385077912
350	0.1384894048
351	0.1384808211
352	0.1384430322
353	0.138391426
354	0.1383807918
355	0.1383643581
356	0.1383580259
357	0.1383469211
358	0.1383321072
359	0.1382983713
360	0.1382738518
361	0.1382441891
362	0.1382223136
363	0.1382013097
364	0.1381584047
365	0.1381323427
366	0.1380982674
367	0.1380621052
368	0.1380169173
369	0.137993634
370	0.1379569877
371	0.1379308198
372	0.1379175066
373	0.1378918234
374	0.1378763854
375	0.1378729703
376	0.1378611272
377	0.1378335257
378	0.1378265447
379	0.137803302
380	0.1377553375
381	0.137703158
382	0.1376734026
383	0.1376602947
384	0.1376258448
385	0.1375836898
386	0.1375694979
387	0.1375311747
388	0.1375093052
389	0.1374761612
390	0.1374551645
391	0.1374415952
392	0.1374009138
393	0.1373965875
394	0.1373663237
395	0.137353121
396	0.1373411573
397	0.1373124811
398	0.1372717336
399	0.1372432737
400	0.1372102272
401	0.1371863802
402	0.1371483077
403	0.1371307194
404	0.1370861958
405	0.1370728537
406	0.1370104794
407	0.1369716701
408	0.1369312754
409	0.1369247141
410	0.136911954
411	0.1368757359
412	0.1368398538
413	0.1367987311
414	0.1367751955
415	0.13673553
416	0.136708522
417	0.1366855165
418	0.1366642871
419	0.1366375863
420	0.1366027926
421	0.1365596704
422	0.1365322725
423	0.1365063469
424	0.136469873
425	0.1364375381
426	0.1364164867
427	0.1363940056
428	0.1363827502
429	0.1363311608
430	0.1363054555
431	0.1362764112
432	0.1362320564
433	0.1362281103
434	0.1362218889
435	0.1362174532
436	0.1361938207
437	0.1361623785
438	0.1361367761
439	0.1361297567
440	0.1361203203
441	0.1360966008
442	0.1360955425
443	0.1360765408
444	0.1360492197
445	0.1360377135
446	0.1360265022
447	0.1360054008
448	0.1359690766
449	0.135946775
450	0.1359145614
451	0.1358914968
452	0.1358774441
453	0.1358586383
454	0.1358529212
455	0.1358460243
456	0.1358344462
457	0.1357990838
458	0.1357915733
459	0.1357784751
460	0.135759395
461	0.1357239793
462	0.1357049414
463	0.1356989161
464	0.1356655382
465	0.1356340339
466	0.1356040364
467	0.1355590267
468	0.1355298343
469	0.1355243504
470	0.1354966277
471	0.1354675695
472	0.1354429938
473	0.1354142218
474	0.1354036088
475	0.1353787367
476	0.1353305455
477	0.1353061856
478	0.1352934077
479	0.1352623394
480	0.1352364903
481	0.135219659
482	0.1351727687
483	0.1351569907
484	0.1351330333
485	0.1351081814
486	0.1351004144
487	0.1350897705
488	0.1350819275
489	0.135049339
490	0.1350271683
491	0.1349764981
492	0.1349614139
493	0.134902625
494	0.1348956657
495	0.1348841804
496	0.1348599223
497	0.1348527113
498	0.1348213054
499	0.1347881571
