iter	Passed	Remaining
0	272	135902
1	510	127039
2	725	120127
3	957	118675
4	1193	118196
5	1373	113080
6	1570	110633
7	1776	109230
8	1989	108525
9	2207	108166
10	2433	108176
11	2656	108037
12	2881	107935
13	3085	107098
14	3301	106734
15	3515	106335
16	3731	106018
17	3936	105411
18	4156	105220
19	4368	104843
20	4564	104108
21	4786	103995
22	4989	103473
23	5209	103317
24	5433	103230
25	5746	104759
26	5977	104718
27	6208	104654
28	6412	104148
29	6630	103873
30	6830	103336
31	7025	102754
32	7247	102564
33	7440	101984
34	7663	101813
35	7883	101605
36	8097	101327
37	8280	100672
38	8521	100730
39	8731	100408
40	8940	100088
41	9152	99802
42	9355	99429
43	9573	99216
44	9793	99025
45	10021	98906
46	10241	98711
47	10452	98430
48	10664	98153
49	10875	97883
50	11115	97863
51	11348	97772
52	11575	97626
53	11783	97322
54	12017	97230
55	12255	97164
56	12466	96891
57	12703	96812
58	12925	96609
59	13148	96419
60	13371	96230
61	13570	95868
62	13784	95619
63	13992	95324
64	14211	95104
65	14444	94980
66	14680	94872
67	14896	94639
68	15124	94471
69	15343	94255
70	15551	93965
71	15787	93845
72	16017	93689
73	16244	93514
74	16462	93285
75	16693	93130
76	16914	92920
77	17113	92590
78	17332	92365
79	17541	92094
80	17756	91852
81	17976	91638
82	18213	91508
83	18432	91284
84	18633	90974
85	18859	90786
86	19076	90558
87	19300	90362
88	19518	90137
89	19745	89953
90	19965	89735
91	20189	89537
92	20408	89316
93	20620	89063
94	20841	88851
95	21073	88682
96	21289	88449
97	21497	88184
98	21711	87943
99	21944	87776
100	22163	87557
101	22388	87360
102	22639	87262
103	22881	87126
104	23133	87027
105	23396	86966
106	23687	87000
107	23965	86987
108	24233	86931
109	24444	86665
110	24682	86500
111	24906	86281
112	25124	86046
113	25335	85786
114	25563	85581
115	25784	85356
116	25992	85087
117	26214	84863
118	26432	84627
119	26652	84400
120	26871	84166
121	27108	83990
122	27343	83809
123	27576	83620
124	27804	83412
125	28016	83158
126	28227	82903
127	28435	82641
128	28649	82394
129	28879	82195
130	29096	81959
131	29324	81752
132	29549	81537
133	29782	81347
134	30008	81133
135	30235	80925
136	30476	80752
137	30688	80502
138	30924	80314
139	31148	80096
140	31373	79880
141	31593	79650
142	31823	79448
143	32059	79257
144	32294	79066
145	32514	78836
146	32692	78506
147	32913	78280
148	33122	78027
149	33331	77773
150	33556	77558
151	33782	77343
152	34006	77126
153	34226	76897
154	34441	76660
155	34670	76451
156	34903	76255
157	35142	76067
158	35366	75849
159	35590	75629
160	35809	75399
161	36049	75214
162	36267	74983
163	36512	74805
164	36729	74572
165	36956	74357
166	37176	74130
167	37387	73885
168	37581	73606
169	37793	73363
170	38015	73141
171	38214	72874
172	38434	72647
173	38649	72413
174	38885	72216
175	39114	72005
176	39333	71777
177	39572	71586
178	39798	71370
179	40112	71310
180	40322	71065
181	40550	70851
182	40785	70650
183	41003	70419
184	41233	70207
185	41458	69989
186	41685	69773
187	41923	69574
188	42137	69337
189	42357	69110
190	42576	68880
191	42804	68665
192	43031	68449
193	43257	68231
194	43484	68013
195	43727	67822
196	43953	67603
197	44170	67371
198	44391	67145
199	44618	66927
200	44823	66677
201	45047	66456
202	45270	66233
203	45500	66020
204	45726	65801
205	45932	65554
206	46165	65345
207	46369	65095
208	46570	64842
209	46724	64524
210	46964	64325
211	47195	64115
212	47415	63888
213	47642	63671
214	47863	63446
215	48081	63218
216	48317	63013
217	48541	62792
218	48779	62589
219	49006	62371
220	49240	62162
221	49455	61930
222	49694	61728
223	49909	61495
224	50110	61246
225	50347	61041
226	50668	60936
227	50892	60714
228	51130	60508
229	51349	60279
230	51588	60075
231	51808	59847
232	52034	59627
233	52240	59384
234	52473	59172
235	52700	58953
236	52904	58708
237	53150	58510
238	53386	58300
239	53607	58075
240	53840	57862
241	54076	57651
242	54288	57416
243	54511	57192
244	54740	56974
245	54955	56742
246	55167	56507
247	55446	56340
248	55686	56133
249	55914	55914
250	56153	55706
251	56423	55527
252	56648	55305
253	56881	55090
254	57105	54866
255	57341	54653
256	57570	54433
257	57827	54241
258	58056	54021
259	58303	53818
260	58575	53637
261	58833	53444
262	59107	53264
263	59393	53094
264	59652	52899
265	59888	52683
