iter	Passed	Remaining
266	60178	52515
267	60449	52329
268	60698	52124
269	60911	51887
270	61166	51686
271	61526	51573
272	61842	51422
273	62129	51245
274	62368	51028
275	62596	50802
276	62849	50597
277	63129	50412
278	63517	50313
279	63812	50138
280	64073	49936
281	64287	49697
282	64545	49492
283	64792	49278
284	65038	49064
285	65276	48843
286	65581	48672
287	65799	48435
288	66024	48204
289	66254	47977
290	66469	47739
291	66738	47540
292	67016	47345
293	67299	47155
294	67519	46920
295	67779	46712
296	68016	46489
297	68249	46263
298	68477	46033
299	68705	45803
300	68908	45557
301	69175	45353
302	69455	45157
303	69719	44950
304	70005	44757
305	70223	44520
306	70457	44293
307	70675	44057
308	70905	43828
309	71138	43600
310	71354	43363
311	71721	43216
312	72086	43067
313	72430	42904
314	72751	42727
315	72989	42499
316	73245	42283
317	73546	42092
318	73842	41898
319	74202	41738
320	74533	41562
321	74883	41395
322	75290	41258
323	75666	41102
324	75945	40893
325	76180	40660
326	76385	40411
327	76638	40188
328	76950	39995
329	77218	39779
330	77466	39552
331	77787	39362
332	78050	39142
333	78383	38956
334	78620	38723
335	78863	38492
336	79109	38263
337	79342	38027
338	79614	37810
339	79845	37574
340	80097	37347
341	80334	37113
342	80567	36877
343	80817	36649
344	81019	36400
345	81313	36191
346	81581	35971
347	81836	35744
348	82077	35511
349	82315	35278
350	82558	35046
351	82753	34794
352	82991	34560
353	83218	34321
354	83441	34081
355	83674	33845
356	83909	33610
357	84144	33375
358	84381	33141
359	84624	32909
360	84926	32700
361	85171	32468
362	85436	32244
363	85679	32011
364	85890	31767
365	86224	31568
366	86670	31409
367	86937	31183
368	87153	30940
369	87400	30708
370	87637	30472
371	87884	30239
372	88073	29987
373	88323	29755
374	88592	29530
375	88840	29298
376	89094	29067
377	89330	28831
378	89582	28600
379	89790	28355
380	90028	28119
381	90264	27882
382	90490	27643
383	90715	27403
384	90939	27163
385	91145	26918
386	91380	26682
387	91557	26428
388	91790	26192
389	92031	25957
390	92231	25711
391	92473	25477
392	92733	25248
393	92991	25018
394	93230	24782
395	93490	24553
396	93727	24317
397	93956	24079
398	94182	23840
399	94417	23604
400	94651	23367
401	94887	23131
402	95107	22891
403	95340	22655
404	95588	22421
405	95839	22189
406	96091	21957
407	96334	21722
408	96587	21490
409	96840	21257
410	97075	21021
411	97320	20786
412	97575	20554
413	97806	20317
414	98048	20082
415	98295	19848
416	98536	19612
417	98727	19367
418	98974	19133
419	99198	18894
420	99442	18660
421	99671	18422
422	99906	18186
423	100143	17950
424	100385	17715
425	100610	17477
426	100867	17244
427	101127	17012
428	101374	16777
429	101616	16542
430	101856	16306
431	102143	16078
432	102514	15862
433	102713	15619
434	102948	15383
435	103295	15162
436	103540	14926
437	103770	14689
438	104045	14457
439	104300	14222
440	104540	13986
441	104804	13752
442	105060	13517
443	105326	13284
444	105601	13051
445	105862	12817
446	106167	12588
447	106414	12351
448	106638	12112
449	106844	11871
450	107099	11636
451	107371	11402
452	107592	11163
453	107914	10934
454	108238	10704
455	108544	10473
456	108949	10251
457	109277	10021
458	109559	9786
459	109825	9550
460	110093	9313
461	110351	9076
462	110624	8840
463	110893	8603
464	111186	8368
465	111456	8132
466	111726	7895
467	112014	7659
468	112295	7422
469	112576	7185
470	112830	6947
471	113095	6709
472	113384	6472
473	113646	6233
474	113965	5998
475	114286	5762
476	114553	5523
477	114816	5284
478	115038	5043
479	115297	4804
480	115615	4566
481	115889	4327
482	116141	4087
483	116404	3848
484	116741	3610
485	117025	3371
486	117231	3129
487	117432	2887
488	117670	2646
489	117938	2406
490	118221	2166
491	118515	1927
492	118803	1686
493	119120	1446
494	119582	1207
495	119864	966
496	120102	724
497	120352	483
498	120667	241
499	121016	0
