iter	Passed	Remaining
398	96697	24477
399	96914	24228
400	97131	23980
401	97338	23729
402	97565	23483
403	97816	23243
404	98056	23000
405	98303	22759
406	98560	22521
407	98810	22280
408	99042	22036
409	99284	21794
410	99518	21550
411	99745	21304
412	99967	21058
413	100195	20813
414	100436	20571
415	100657	20325
416	100893	20081
417	101131	19839
418	101347	19592
419	101596	19351
420	101821	19106
421	102046	18861
422	102288	18619
423	102512	18374
424	102742	18131
425	102990	17890
426	103188	17641
427	103437	17400
428	103680	17159
429	103931	16919
430	104173	16677
431	104413	16435
432	104661	16194
433	104868	15947
434	105099	15704
435	105340	15462
436	105565	15218
437	105798	14976
438	106038	14734
439	106241	14487
440	106481	14245
441	106712	14002
442	107049	13773
443	107291	13532
444	107544	13291
445	107769	13048
446	108007	12806
447	108259	12565
448	108505	12324
449	108734	12081
450	108938	11835
451	109178	11594
452	109429	11353
453	109657	11110
454	109897	10868
455	110154	10628
456	110399	10387
457	110644	10146
458	110900	9906
459	111110	9661
460	111352	9420
461	111595	9178
462	111845	8937
463	112087	8696
464	112308	8453
465	112546	8211
466	112778	7969
467	112988	7725
468	113204	7482
469	113445	7241
470	113686	6999
471	113905	6757
472	114153	6516
473	114397	6274
474	114637	6033
475	114876	5792
476	115114	5550
477	115357	5309
478	115607	5068
479	115874	4828
480	116116	4586
481	116357	4345
482	116599	4103
483	116835	3862
484	117083	3621
485	117359	3380
486	117605	3139
487	117828	2897
488	118062	2655
489	118287	2414
490	118519	2172
491	118772	1931
492	119014	1689
493	119227	1448
494	119461	1206
495	119686	965
496	119927	723
497	120171	482
498	120395	241
499	120634	0
