iter	Logloss
0	0.3433691524
1	0.2489935874
2	0.2154032511
3	0.1986866882
4	0.1908932641
5	0.1836297848
6	0.179484498
7	0.1770744587
8	0.1747256463
9	0.1735026439
10	0.1720461646
11	0.1711413786
12	0.1699262825
13	0.1687284716
14	0.16800973
15	0.1671869445
16	0.1660812083
17	0.1652465036
18	0.1646611938
19	0.163906433
20	0.163461752
21	0.1629742815
22	0.1623560202
23	0.1619804694
24	0.1614793625
25	0.1613145186
26	0.1606756391
27	0.1602057024
28	0.1599447501
29	0.1596726141
30	0.1595133136
31	0.1592731414
32	0.1591556698
33	0.1588881405
34	0.1587339327
35	0.1583337511
36	0.1580632626
37	0.1578836573
38	0.1577245953
39	0.1575681065
40	0.1572565207
41	0.1569199175
42	0.1566951688
43	0.1565027008
44	0.1563356498
45	0.1560931216
46	0.155943682
47	0.1556507438
48	0.1555012978
49	0.1553813336
50	0.1551774269
51	0.1547646318
52	0.1545871206
53	0.1544754524
54	0.1542901292
55	0.154094389
56	0.153954571
57	0.1538874249
58	0.1538110952
59	0.1536539092
60	0.1535446199
61	0.153343646
62	0.153249267
63	0.1531686233
64	0.1530649742
65	0.1529853164
66	0.1528978437
67	0.1527814089
68	0.1526759711
69	0.152407583
70	0.1522919662
71	0.1522003265
72	0.1520652661
73	0.1519706015
74	0.15188953
75	0.1518717888
76	0.151736594
77	0.1516608857
78	0.1515815654
79	0.1515076415
80	0.1514415603
81	0.1512782693
82	0.1512337616
83	0.1511494882
84	0.151063118
85	0.1509420008
86	0.1508741554
87	0.1508011349
88	0.1507300063
89	0.1506837453
90	0.1506096228
91	0.1505499866
92	0.150499347
93	0.1504259241
94	0.1502691586
95	0.1501954455
96	0.1501123767
97	0.1500632894
98	0.1499101718
99	0.1498083013
100	0.1497566047
101	0.1497198129
102	0.1496396149
103	0.1495401377
104	0.1494666726
105	0.1494128205
106	0.149326976
107	0.1492266974
108	0.149152027
109	0.1490443772
110	0.1489730634
111	0.1488800078
112	0.1487572953
113	0.1486975089
114	0.1486379271
115	0.1485360407
116	0.1484921181
117	0.1484908777
118	0.1484265595
119	0.1483088074
120	0.1482862885
121	0.1482264108
122	0.1481384674
123	0.1480467529
124	0.1479511924
125	0.1478956858
126	0.1478405349
127	0.1478045107
128	0.1477582041
129	0.1476334661
130	0.1475738175
131	0.1474799104
132	0.1474372059
133	0.1474221783
134	0.1473594843
135	0.1472935325
136	0.1472511887
137	0.1472254021
138	0.1471773606
139	0.147144637
140	0.1470848993
141	0.1470810679
142	0.1470284078
143	0.1469644661
144	0.1468985931
145	0.1468592745
146	0.1467919503
147	0.1467042601
148	0.1466548372
149	0.1466164594
150	0.1465742803
151	0.1465168411
152	0.1464767087
153	0.1464484039
154	0.1464078102
155	0.1463488473
156	0.1462739313
157	0.1462514532
158	0.1462317132
159	0.1461571004
160	0.1461179897
161	0.1460787369
162	0.146049363
163	0.1460256692
164	0.1459965684
165	0.1459702872
166	0.145934742
167	0.1459087832
168	0.145851014
169	0.145760653
170	0.1457022745
171	0.1456707381
172	0.1455946842
173	0.1454401764
174	0.1454159583
175	0.1453838397
176	0.145334881
177	0.1453116349
178	0.1452396969
179	0.1451576469
180	0.1450427672
181	0.1449918875
182	0.1449274391
183	0.144874158
184	0.1448170652
185	0.1447777503
186	0.1447338902
187	0.1446923039
188	0.1446459284
189	0.1446405956
190	0.1445475247
191	0.1444957152
192	0.1444886267
193	0.1444252842
194	0.144388585
195	0.1443624948
196	0.1443053776
197	0.1442464005
198	0.1442420461
199	0.1441839938
200	0.1441221786
201	0.1440684192
202	0.1439999826
203	0.1439631512
204	0.1439238611
205	0.143885631
206	0.1438246363
207	0.1437932193
208	0.1437773739
209	0.1437595846
210	0.143703543
211	0.1436328821
212	0.1436077837
213	0.1435239047
214	0.1434699226
215	0.1434298703
216	0.1433874145
217	0.1433413522
218	0.1432964835
219	0.1432589047
220	0.1432420747
221	0.1431972266
222	0.1431625212
223	0.1431321442
224	0.1430835382
225	0.143046304
226	0.1430158102
227	0.142983258
228	0.1429565598
229	0.1429088969
230	0.1428945059
231	0.1428531364
232	0.1428144806
233	0.1427660539
234	0.1427295795
235	0.1427099466
236	0.1426801034
237	0.1426419719
238	0.142627996
239	0.1425789383
240	0.1425525534
241	0.1425196787
242	0.1424917968
243	0.142443999
244	0.1424248774
245	0.1423724139
246	0.1423236912
247	0.1422954458
248	0.1422703154
249	0.1422482804
250	0.1422135053
251	0.142188613
252	0.1421621818
253	0.1421170492
254	0.1420901116
255	0.1420663836
256	0.1420391212
257	0.1419723403
258	0.1418259649
259	0.1417618078
260	0.1417391384
261	0.1417206008
262	0.1416708624
263	0.1416621409
264	0.141613881
265	0.1415729039
266	0.1415344207
267	0.1415145773
268	0.1414883015
269	0.1414764995
270	0.141447352
271	0.1414250034
272	0.1413981092
273	0.1413897279
274	0.1413525208
275	0.1413461171
276	0.1413423061
277	0.1413290993
278	0.141283043
279	0.1412414464
280	0.1412319354
281	0.1412140507
282	0.1411979485
283	0.1411717791
284	0.1411340725
285	0.1411059217
286	0.1410677762
287	0.1410122042
288	0.1409906232
289	0.140969852
290	0.1409348379
291	0.1409134496
292	0.1408815417
293	0.140836463
294	0.140812303
295	0.1407822008
296	0.1407549779
297	0.1407019395
298	0.1406505974
299	0.1406205097
300	0.1405857256
301	0.1405640116
302	0.1405494272
303	0.1405177279
304	0.1405087543
305	0.1404905246
306	0.1404595825
307	0.1404493082
308	0.1404077344
309	0.1403727728
310	0.1403510702
311	0.1403022614
312	0.1402803953
313	0.1402424609
314	0.140214056
315	0.1401555051
316	0.1401156407
317	0.1400743796
318	0.1400302832
319	0.1400039071
320	0.1399938187
321	0.1399810753
322	0.1399669131
323	0.1399413299
324	0.1398916917
325	0.1398811418
326	0.1398596912
327	0.1398037436
328	0.139775646
329	0.1397344556
330	0.1397228121
331	0.1396831523
332	0.1396331285
333	0.1395945294
334	0.1395802546
335	0.1395433967
336	0.1395207533
337	0.1394927314
338	0.1394224549
339	0.1393956747
340	0.1393424946
341	0.1393225672
342	0.1392810188
343	0.1392123373
344	0.1391867087
345	0.1391578737
346	0.1391273727
347	0.1391127296
348	0.1390733368
349	0.1390597218
350	0.1390384734
351	0.1390158929
352	0.1389932029
353	0.1389615073
354	0.1389521953
355	0.1389137471
356	0.1388848712
357	0.1388597713
358	0.1388216819
359	0.1387920804
360	0.1387440763
361	0.1387123767
362	0.1386802897
363	0.1386456037
364	0.1385993684
365	0.1385581233
366	0.1385157644
367	0.1384806469
368	0.1384489829
369	0.1384039823
370	0.1383753507
371	0.1383681046
372	0.1383408967
373	0.1383094538
374	0.1382754973
375	0.1382727169
376	0.1382611475
377	0.1382042813
378	0.1381846165
379	0.1381750894
380	0.1381495656
381	0.1381192889
382	0.1380948983
383	0.1380703854
384	0.1380451211
385	0.1380346662
386	0.1380068505
387	0.1379721178
388	0.13795632
389	0.1379382244
390	0.1379305972
391	0.1379238978
392	0.1378805475
393	0.1378617736
394	0.1378548682
395	0.1377822375
396	0.1377627396
397	0.1377467597
398	0.1377094289
399	0.137676169
400	0.1376499231
401	0.1376322252
402	0.1376253335
403	0.1376208725
404	0.1376007426
405	0.1375655721
406	0.1375481516
407	0.1375364733
408	0.1375096337
409	0.1374924682
410	0.1374383143
411	0.1373984722
412	0.1373710786
413	0.1373384119
414	0.1373177474
415	0.1372703255
416	0.1372551195
417	0.1372206857
418	0.1371862999
419	0.1371626941
420	0.13714314
421	0.1371156778
422	0.1370849672
423	0.1370545956
424	0.1370220089
425	0.1369997346
426	0.1369945547
427	0.1369619413
428	0.1369417031
429	0.136913671
430	0.1368847759
431	0.1368689685
432	0.1368506561
433	0.1368344737
434	0.1367974827
435	0.1367667164
436	0.1367331669
437	0.1367037977
438	0.1366523328
439	0.1366418226
440	0.1366101876
441	0.1365833943
442	0.1365472665
443	0.1365142219
444	0.1365006254
445	0.1364742896
446	0.1364406504
447	0.1364220134
448	0.1364094891
449	0.1363994196
450	0.1363974457
451	0.136373925
452	0.1363573245
453	0.1363332585
454	0.1363027039
455	0.1362981912
456	0.1362777874
457	0.1362544438
458	0.1362462612
459	0.1362374317
460	0.1362120792
461	0.1361897552
462	0.1361536955
463	0.1361221833
464	0.1361051003
465	0.1360805403
466	0.1360602086
467	0.1360580599
468	0.1360286322
469	0.136005201
470	0.1359636517
471	0.1359264424
472	0.1359119035
473	0.1358848609
474	0.1358748619
475	0.1358401211
476	0.1358176952
477	0.1357793533
478	0.1357367125
479	0.135719659
480	0.1356982057
481	0.1356738398
482	0.1356699374
483	0.1356457494
484	0.1356145505
485	0.1355845797
486	0.1355652233
487	0.1355377868
